feature,importance
win_emb_077,0.0018255629
win_emb_262,0.0018194494
win_emb_344,0.0018191562
win_emb_062,0.0018131731
win_emb_047,0.0018102913
win_emb_351,0.0018059385
win_emb_305,0.0018050018
win_emb_102,0.0018012584
win_emb_216,0.0017994763
win_emb_263,0.0017866229
win_emb_235,0.0017857708
win_emb_110,0.0017813947
win_night_ratio,0.0017805614
win_emb_339,0.0017782418
win_emb_086,0.0017745221
win_emb_307,0.0017715833
win_emb_125,0.0017706511
win_emb_375,0.0017611191
win_emb_312,0.0017585282
win_emb_229,0.0017558652
win_emb_157,0.0017517571
win_emb_011,0.0017492776
win_emb_075,0.0017480135
win_emb_016,0.0017435857
win_emb_198,0.0017369867
win_emb_078,0.0017333692
win_emb_182,0.0017302224
delta_night_ratio,0.0017293011
win_emb_202,0.0017285236
win_emb_109,0.0017207032
win_emb_068,0.0017167046
win_emb_024,0.0017136111
win_emb_227,0.0017116634
win_emb_371,0.001711024
win_emb_031,0.0017077127
win_emb_188,0.0017072196
win_emb_146,0.0017033537
win_emb_032,0.0017006992
win_emb_360,0.0016999837
win_emb_318,0.0016994141
win_emb_010,0.0016987732
win_emb_316,0.001697907
win_emb_141,0.001694085
win_emb_094,0.0016932419
win_emb_052,0.0016866258
win_emb_321,0.0016863338
win_emb_160,0.0016821681
win_emb_317,0.0016786781
win_emb_135,0.0016750027
win_emb_112,0.0016747918
win_emb_367,0.0016588494
win_emb_145,0.0016578397
win_emb_003,0.0016557503
win_emb_138,0.0016531828
win_emb_137,0.0016530182
win_emb_252,0.0016454911
win_emb_012,0.0016423148
win_emb_286,0.0016418606
win_emb_324,0.0016335858
win_emb_197,0.0016335854
win_emb_087,0.0016301549
win_emb_065,0.0016227168
win_emb_333,0.0016193299
win_emb_107,0.0016167925
win_emb_089,0.0016139429
win_emb_257,0.001612256
embedding_drift,0.0016096116
win_emb_014,0.0016046462
win_emb_111,0.0016021691
win_emb_315,0.0015970778
win_emb_300,0.0015945291
win_emb_085,0.0015842399
win_emb_383,0.0015766647
win_emb_309,0.0015751397
win_emb_061,0.001573835
win_emb_050,0.0015736228
win_emb_100,0.0015701049
win_emb_327,0.0015631214
win_emb_035,0.0015595298
win_emb_289,0.0015591929
win_emb_213,0.0015534258
win_emb_280,0.0015480359
win_emb_251,0.0015465418
win_emb_175,0.0015439284
delta_posting_freq,0.0015429158
win_emb_169,0.0015369302
win_emb_054,0.0015305295
win_emb_079,0.0015280289
win_emb_000,0.001526761
win_emb_203,0.0015252784
win_emb_115,0.0015250779
win_emb_366,0.0015246893
win_emb_156,0.0015207715
win_emb_045,0.0015194274
win_emb_124,0.001518974
win_emb_121,0.0015151775
win_emb_201,0.0015122001
win_emb_099,0.0015108796
win_emb_281,0.0015005298
win_emb_194,0.0014979821
win_mean_sadness,0.001497204
win_emb_027,0.0014950073
win_emb_066,0.0014938376
win_emb_140,0.00149285
win_emb_308,0.0014927855
win_emb_142,0.0014921589
win_emb_049,0.0014834526
win_emb_059,0.0014829956
win_emb_096,0.001482415
win_emb_025,0.0014760577
win_emb_046,0.0014695135
win_emb_299,0.0014668376
win_emb_154,0.0014662299
win_emb_186,0.0014655752
win_emb_283,0.0014648606
win_emb_129,0.0014621519
win_emb_290,0.0014420182
win_emb_352,0.0014415102
win_emb_147,0.0014363659
win_emb_039,0.0014321521
win_emb_067,0.0014267876
win_emb_164,0.0014263751
win_emb_091,0.001426092
win_volatility_sadness,0.0014250871
win_emb_314,0.0014136741
win_emb_167,0.0014122452
win_emb_058,0.0014082292
win_emb_103,0.0014062927
win_emb_130,0.0013999213
win_emb_336,0.0013998837
win_emb_181,0.0013841501
win_emb_271,0.0013745673
win_emb_284,0.0013731017
win_emb_208,0.0013683473
win_emb_090,0.0013592544
win_emb_382,0.0013541183
win_emb_098,0.001354055
win_emb_033,0.0013449437
win_mean_anxiety,0.0013417888
win_emb_358,0.0013346128
win_emb_136,0.0013332538
win_emb_021,0.0013303597
win_emb_151,0.0013249444
win_emb_355,0.0013169644
win_emb_380,0.0013050472
win_emb_330,0.001299307
win_emb_038,0.0012922299
win_emb_359,0.0012847697
win_emb_161,0.0012629925
win_emb_303,0.0012622396
win_emb_250,0.0012420749
win_emb_373,0.0012364681
win_emb_272,0.001236087
win_emb_013,0.001198329
win_emb_338,0.0011557078
win_emb_231,0.001150706
win_emb_311,0.0011432559
win_emb_334,0.001092018
win_emb_159,0.0010847142
win_emb_189,0.001040143
win_emb_034,0.0010307091
win_emb_275,0.0010111554
win_emb_323,0.00094442675
win_emb_215,0.0009326311
win_emb_113,0.00091756205
win_emb_372,0.00078104885
win_emb_008,0.00062170334
