feature,importance
user_win_emb_212,0.079873554
user_win_emb_191,0.023011085
user_win_emb_357,0.019177467
user_win_emb_104,0.018562097
user_win_emb_123,0.01723337
user_win_emb_139,0.013987245
user_win_emb_279,0.011828622
user_win_emb_340,0.007672153
user_win_emb_215,0.0069551044
user_win_emb_101,0.006935638
user_win_emb_150,0.006701392
user_win_emb_091,0.0064673815
user_win_emb_098,0.0063524265
user_win_emb_318,0.0061023505
user_win_emb_208,0.0056963614
user_win_emb_003,0.0056234384
user_win_emb_247,0.00560764
user_win_emb_197,0.0055094473
user_win_emb_331,0.005379232
user_win_emb_066,0.004817961
user_win_emb_206,0.0046282224
num_windows,0.0045339414
user_win_emb_074,0.00443369
user_win_emb_021,0.0043902216
user_win_emb_283,0.0042590573
user_win_emb_244,0.004152795
user_win_emb_242,0.004141587
user_win_emb_210,0.0041364646
user_win_emb_312,0.0040227813
user_win_emb_081,0.00393853
user_win_emb_118,0.003862353
total_posts,0.0037963109
user_win_emb_316,0.0035905025
win_volatility_sadness_min,0.0035849782
user_win_emb_217,0.0035817383
delta_posting_freq_std,0.0035816913
win_posting_freq_per_day_std,0.0035662928
user_win_emb_144,0.0035049808
user_win_emb_260,0.003502946
user_win_emb_166,0.0034759117
win_mean_negative_emotion_std,0.0033146562
user_win_emb_351,0.003299609
delta_anxiety_min,0.0032526068
user_win_emb_114,0.0032126722
win_mean_sadness_min,0.0031573765
user_win_emb_108,0.0030755997
user_win_emb_046,0.0029970554
user_win_emb_254,0.0029710687
user_win_emb_321,0.0028912795
win_volatility_anxiety_std,0.002869793
user_win_emb_043,0.0028333042
user_win_emb_282,0.0028287098
delta_posting_freq_max,0.002808509
user_win_emb_033,0.0028026132
win_volatility_sadness_std,0.002784849
user_win_emb_037,0.0027732383
user_win_emb_138,0.0027727336
user_win_emb_179,0.00275252
user_win_emb_315,0.0027113513
user_win_emb_287,0.0027060653
win_mean_anxiety_std,0.0026804772
user_win_emb_350,0.002675686
user_win_emb_225,0.0026718962
user_win_emb_347,0.0026005767
user_win_emb_044,0.0025872954
user_win_emb_032,0.002562665
user_win_emb_368,0.002559136
user_win_emb_235,0.0025139174
user_win_emb_009,0.002449757
user_win_emb_127,0.002443701
win_posting_freq_per_day_max,0.002438939
user_win_emb_095,0.0024139537
user_win_emb_180,0.0024125255
embedding_drift_max,0.0024104693
user_win_emb_221,0.0023573798
embedding_drift_mean,0.002328486
user_win_emb_239,0.0023109815
user_win_emb_103,0.0023059943
user_win_emb_269,0.0022962813
delta_negative_emotion_max,0.0022621248
user_win_emb_261,0.0022263022
user_win_emb_236,0.0021879915
user_win_emb_196,0.0021712906
user_win_emb_145,0.0021567352
user_win_emb_209,0.0021292737
user_win_emb_358,0.0021091583
user_win_emb_289,0.0021079427
win_mean_sadness_std,0.0021025806
user_win_emb_309,0.002100689
user_win_emb_060,0.002077353
user_win_emb_048,0.0020654036
user_win_emb_053,0.0020516901
user_win_emb_155,0.0020471157
post_count_std,0.0020458486
user_win_emb_292,0.002041477
user_win_emb_006,0.002029776
user_win_emb_038,0.0020031193
user_win_emb_370,0.002001761
user_win_emb_030,0.001987702
user_win_emb_379,0.0019868442
user_win_emb_173,0.0019786886
user_win_emb_343,0.001969441
win_night_ratio_std,0.0019665803
user_win_emb_364,0.001950147
user_win_emb_300,0.001943124
user_win_emb_130,0.001938553
user_win_emb_354,0.0019381645
user_win_emb_223,0.0019369881
user_win_emb_160,0.0019363672
user_win_emb_019,0.0019314626
user_win_emb_211,0.0019219299
user_win_emb_220,0.001915617
user_win_emb_172,0.0019130554
user_win_emb_259,0.0019038925
user_win_emb_031,0.0018931993
user_win_emb_042,0.0018856338
user_win_emb_202,0.0018761161
win_posting_freq_per_day_mean,0.001875282
delta_night_ratio_std,0.0018688416
user_win_emb_281,0.0018684474
win_mean_negative_emotion_max,0.0018604998
user_win_emb_069,0.001853035
user_win_emb_345,0.001852661
user_win_emb_133,0.0018511909
user_win_emb_353,0.0018452853
user_win_emb_251,0.0018451314
user_win_emb_334,0.0018415509
user_win_emb_004,0.0018393359
user_win_emb_084,0.0017918315
user_win_emb_002,0.0017906042
delta_sadness_max,0.001783427
user_win_emb_120,0.0017832993
user_win_emb_051,0.00177928
user_win_emb_237,0.001777462
delta_posting_freq_min,0.0017746189
user_win_emb_068,0.0017711563
user_win_emb_124,0.0017697709
user_win_emb_285,0.0017651842
user_win_emb_272,0.0017645825
user_win_emb_154,0.0017584249
user_win_emb_216,0.0017583452
user_win_emb_023,0.0017499834
avg_time_gap_hrs,0.0017441207
user_win_emb_294,0.0017407677
user_win_emb_346,0.0017391957
user_win_emb_049,0.001728938
user_win_emb_374,0.001727182
user_win_emb_204,0.0017251457
user_win_emb_205,0.0017206977
user_win_emb_263,0.0017193599
user_win_emb_136,0.0017183861
user_win_emb_303,0.0017165435
user_win_emb_085,0.001709523
user_win_emb_277,0.0017086222
user_win_emb_163,0.0017014248
user_win_emb_093,0.0016917249
user_win_emb_377,0.0016908768
user_win_emb_291,0.00168941
user_win_emb_025,0.0016864178
post_count_mean,0.0016858471
user_win_emb_336,0.0016844799
user_win_emb_271,0.0016838688
user_win_emb_193,0.0016837204
user_win_emb_141,0.0016806008
user_win_emb_224,0.0016793287
user_win_emb_304,0.0016740463
user_win_emb_341,0.0016739598
delta_sadness_std,0.001669934
win_volatility_anxiety_min,0.0016697188
user_win_emb_332,0.0016638908
user_win_emb_094,0.0016599019
user_win_emb_383,0.0016544814
user_win_emb_230,0.0016505914
delta_sadness_mean,0.0016494642
user_win_emb_171,0.001648493
user_win_emb_378,0.0016454527
user_win_emb_363,0.0016431087
user_win_emb_189,0.0016393765
user_win_emb_344,0.0016389843
user_win_emb_113,0.001633691
user_win_emb_078,0.0016316129
user_win_emb_064,0.0016255836
win_night_ratio_max,0.0016233696
user_win_emb_089,0.0016227947
embedding_drift_std,0.0016209938
user_win_emb_266,0.0016186356
user_win_emb_013,0.0016170413
user_win_emb_096,0.0016164866
date_range_days,0.0016159937
user_win_emb_233,0.0016123824
user_win_emb_077,0.0016076571
user_win_emb_222,0.0016055586
user_win_emb_262,0.001604628
user_win_emb_367,0.0015975913
user_win_emb_325,0.0015968023
user_win_emb_371,0.0015962209
user_win_emb_092,0.0015947204
delta_posting_freq_mean,0.0015910997
user_win_emb_380,0.0015910636
user_win_emb_035,0.0015892218
user_win_emb_100,0.0015884405
user_win_emb_110,0.00158669
user_win_emb_319,0.0015820325
user_win_emb_072,0.0015757901
win_mean_anxiety_max,0.0015749397
user_win_emb_131,0.0015724436
user_win_emb_361,0.0015720219
user_win_emb_192,0.0015707924
user_win_emb_125,0.0015617191
win_mean_sadness_mean,0.0015551369
user_win_emb_162,0.001554114
user_win_emb_045,0.0015537307
user_win_emb_338,0.0015533858
user_win_emb_143,0.0015499535
user_win_emb_246,0.0015497626
user_win_emb_177,0.0015460082
user_win_emb_184,0.0015427985
user_win_emb_366,0.0015427427
user_win_emb_010,0.0015400244
user_win_emb_159,0.0015396306
user_win_emb_295,0.0015345819
user_win_emb_348,0.0015328175
user_win_emb_376,0.0015312402
user_win_emb_360,0.0015286237
user_win_emb_005,0.0015284892
user_win_emb_007,0.0015266127
user_win_emb_165,0.0015262982
user_win_emb_382,0.0015252514
user_win_emb_270,0.0015225755
user_win_emb_375,0.0015173253
user_win_emb_158,0.001516919
user_win_emb_018,0.0015166454
user_win_emb_115,0.0015165258
user_win_emb_024,0.0015157798
user_win_emb_134,0.0015125547
user_win_emb_288,0.0015099426
user_win_emb_161,0.0015053982
user_win_emb_022,0.0015046762
user_win_emb_302,0.0015046267
user_win_emb_218,0.0015029733
user_win_emb_185,0.001501918
user_win_emb_146,0.0014999688
user_win_emb_333,0.0014932934
user_win_emb_243,0.0014912516
user_win_emb_020,0.001488714
user_win_emb_176,0.0014884014
user_win_emb_062,0.0014869686
user_win_emb_296,0.0014866383
user_win_emb_170,0.0014857834
user_win_emb_342,0.0014847869
user_win_emb_105,0.0014847314
user_win_emb_175,0.001479793
user_win_emb_255,0.0014797349
user_win_emb_008,0.0014779253
user_win_emb_306,0.0014779179
user_win_emb_373,0.0014778974
user_win_emb_151,0.001476611
user_win_emb_355,0.0014756594
user_win_emb_121,0.0014749258
user_win_emb_257,0.0014731073
user_win_emb_090,0.0014706342
user_win_emb_039,0.0014706102
posts_per_week,0.001464551
user_win_emb_311,0.0014640556
user_win_emb_359,0.001463641
user_win_emb_057,0.0014630037
user_win_emb_050,0.0014626698
user_win_emb_080,0.0014605402
user_win_emb_183,0.0014601444
user_win_emb_327,0.0014589817
user_win_emb_274,0.0014579941
user_win_emb_372,0.0014578648
user_win_emb_229,0.0014577293
user_win_emb_164,0.0014559595
user_win_emb_299,0.0014492718
user_win_emb_156,0.0014489369
user_win_emb_290,0.001446767
user_win_emb_167,0.0014464963
user_win_emb_238,0.0014458725
user_win_emb_099,0.0014442945
user_win_emb_337,0.001441628
user_win_emb_356,0.0014414572
user_win_emb_169,0.0014406253
user_win_emb_056,0.0014405637
user_win_emb_116,0.0014392318
user_win_emb_106,0.0014375473
user_win_emb_226,0.0014356148
user_win_emb_320,0.0014354617
user_win_emb_112,0.0014339902
delta_anxiety_max,0.0014338399
user_win_emb_253,0.0014323804
user_win_emb_227,0.0014320607
user_win_emb_142,0.0014310713
user_win_emb_186,0.001430163
user_win_emb_137,0.0014296292
user_win_emb_381,0.001428551
user_win_emb_252,0.0014270538
user_win_emb_326,0.001426608
user_win_emb_324,0.0014251673
user_win_emb_015,0.0014237799
win_posting_freq_per_day_min,0.0014237384
user_win_emb_071,0.0014224092
user_win_emb_040,0.0014221558
user_win_emb_011,0.0014215414
user_win_emb_245,0.0014196102
user_win_emb_330,0.0014175532
user_win_emb_052,0.0014173422
user_win_emb_135,0.0014165599
user_win_emb_017,0.0014159654
win_night_ratio_min,0.0014147457
user_win_emb_153,0.0014137325
win_volatility_anxiety_mean,0.0014110159
user_win_emb_369,0.0014106685
user_win_emb_298,0.0014102153
user_win_emb_132,0.0014092196
user_win_emb_055,0.0014088774
user_win_emb_065,0.0014068292
user_win_emb_265,0.0014045773
user_win_emb_278,0.0014037746
user_win_emb_240,0.0014034214
user_win_emb_267,0.0014022642
user_win_emb_102,0.001400565
user_win_emb_273,0.0013999041
user_win_emb_188,0.0013995111
user_win_emb_228,0.0013982907
user_win_emb_195,0.0013973406
user_win_emb_061,0.0013963227
user_win_emb_190,0.0013935566
user_win_emb_028,0.0013935565
user_win_emb_129,0.0013885389
user_win_emb_063,0.0013855433
win_volatility_sadness_mean,0.0013840902
user_win_emb_250,0.0013768617
user_win_emb_201,0.0013747249
user_win_emb_182,0.0013745569
user_win_emb_012,0.0013736101
user_win_emb_157,0.0013728229
win_mean_anxiety_min,0.0013727257
user_win_emb_314,0.0013715907
user_win_emb_322,0.0013667758
user_win_emb_054,0.0013664465
user_win_emb_293,0.0013655161
user_win_emb_305,0.0013649935
user_win_emb_219,0.0013630156
user_win_emb_335,0.0013615662
user_win_emb_079,0.0013596228
user_win_emb_088,0.001359265
user_win_emb_323,0.0013560341
user_win_emb_365,0.0013557825
user_win_emb_286,0.0013549873
delta_anxiety_mean,0.0013519974
user_win_emb_187,0.0013514647
user_win_emb_276,0.0013491962
user_win_emb_109,0.0013445282
user_win_emb_149,0.0013439388
user_win_emb_148,0.0013423398
user_win_emb_067,0.0013393286
user_win_emb_086,0.0013386542
user_win_emb_232,0.0013367038
user_win_emb_231,0.0013332798
user_win_emb_249,0.0013274028
