feature,importance
user_win_emb_241,0.0013270784
delta_night_ratio_min,0.0013241644
user_win_emb_203,0.0013214287
user_win_emb_297,0.001319183
user_win_emb_000,0.0013178493
user_win_emb_199,0.0013160232
win_volatility_sadness_max,0.0013156214
delta_night_ratio_max,0.0013139532
user_win_emb_001,0.0013092938
user_win_emb_076,0.0013092372
user_win_emb_082,0.001308909
user_win_emb_168,0.0013084983
user_win_emb_047,0.0013053367
user_win_emb_301,0.0013027487
user_win_emb_058,0.0013011995
user_win_emb_256,0.0013009778
user_win_emb_181,0.0012998407
user_win_emb_317,0.001298419
win_mean_negative_emotion_mean,0.0012919005
user_win_emb_352,0.0012883296
user_win_emb_213,0.0012869952
user_win_emb_178,0.0012858427
user_win_emb_029,0.0012839783
delta_anxiety_std,0.0012823443
user_win_emb_083,0.0012820344
user_win_emb_014,0.001275436
user_win_emb_328,0.0012748145
user_win_emb_152,0.0012717589
user_win_emb_026,0.0012715455
delta_negative_emotion_mean,0.0012683764
user_win_emb_275,0.0012669838
user_win_emb_122,0.0012663678
user_win_emb_140,0.0012661021
user_win_emb_174,0.0012628582
user_win_emb_027,0.0012578677
win_mean_sadness_max,0.001255973
user_win_emb_036,0.001254959
user_win_emb_117,0.001252627
user_win_emb_016,0.0012477227
user_win_emb_194,0.0012429277
user_win_emb_329,0.0012422217
user_win_emb_097,0.0012417303
user_win_emb_308,0.00124015
user_win_emb_041,0.0012381305
user_win_emb_264,0.0012361653
delta_negative_emotion_min,0.0012340293
user_win_emb_248,0.0012338347
user_win_emb_268,0.0012304409
user_win_emb_200,0.0012302378
user_win_emb_119,0.0012264999
user_win_emb_107,0.0012233927
user_win_emb_362,0.0012217528
user_win_emb_059,0.0012203796
user_win_emb_339,0.0012195786
user_win_emb_087,0.0012070962
user_win_emb_234,0.0011998051
user_win_emb_198,0.0011964071
user_win_emb_280,0.0011882158
user_win_emb_128,0.0011874945
user_win_emb_111,0.0011813651
user_win_emb_034,0.0011766235
win_night_ratio_mean,0.0011716088
user_win_emb_126,0.001169314
win_volatility_anxiety_max,0.0011682662
user_win_emb_075,0.001161709
user_win_emb_258,0.0011572378
user_win_emb_070,0.0011565675
user_win_emb_207,0.0011526321
user_win_emb_310,0.0011515311
user_win_emb_214,0.001140465
user_win_emb_147,0.001132384
delta_night_ratio_mean,0.0011223577
user_win_emb_284,0.0011185763
delta_negative_emotion_std,0.0010981347
user_win_emb_073,0.0010948193
user_win_emb_307,0.0010918779
win_mean_anxiety_mean,0.0010869523
delta_sadness_min,0.0010635646
user_win_emb_313,0.0010570162
win_mean_negative_emotion_min,0.0010056103
user_win_emb_349,0.0009877516
late_night_ratio,0.00096513715
embedding_drift_min,0.0
